,Название объекта,Рынок,Технологии,type,Сайт
141,АО «Москоллектор»,,,0,http://www.moscollector.ru/
142,Чемпионика,SportTech,,0,https://www.championika.ru/
143,РЭУ им. Г.В. Плеханова,EdTech,AR/VR|Искусственный интеллект и машинное обучение,1,https://www.rea.ru/
144,Федерация санного спорта России,SportTech,,0,http://rusluge.ru/
145,"Реабилитационный центр ""Преодоление""",Healthcare,,0,https://preo.ru/
146,ЦОДД,Transport & Logistics,,1,http://www.gucodd.ru/
147,Группа компаний «Москабельмет»,IndustrialTech,Искусственный интеллект и машинное обучение|Робототехника,0,https://www.mkm.ru/
148,"АНО ""Цифровая трансформация""",EdTech|Transport & Logistics|Telecom|Healthcare,,0,https://ано-цт.рф/
149,Музей русского импрессионизма,EdTech|Advertising & Marketing|Entertainment,,0,http://www.rusimp.su/
150,"Рейтинговое агентство ""Русмет""",CleanTech,,0,https://rusmet.ru/
151,Лента,RetailTech,,0,lenta.com
152,Ресурсный центр универсального дизайна и реабилитационных технологий,Healthcare,Big Data|Искусственный интеллект и машинное обучение,1,https://rcud-rt.ru/
153,Федерация гребного спорта России,SportTech,,0,https://rowingrussia.ru/
154,Центр развития картинга,SportTech,,0,forza-karting.ru
155,Федерация силового многоборья,SportTech,,0,http://fsm-msk.ru/
156,Московский ПОЛИТЕХ,EdTech,AR/VR,1,https://mospolytech.ru
157,"Боксерский клуб ""Ударник""",SportTech,,0,http://extrimpower.ru/
158,Sinteza,PropTech,,0,https://sinteza.ru/
159,Московский физико-технический институт,EdTech,,1,https://mipt.ru/
160,Московский государственный медико-стоматологический университет им. А.И. Евдокимова,EdTech|Healthcare,AR/VR|Робототехника,1,https://www.msmsu.ru/
161,Скандинавский центр здоровья,Healthcare,,0,scz.ru
162,Кредит Европа Банк,FinTech,,0,https://www.crediteurope.ru/
